36.42121887	48709	130	133.615
-6.144680023	48709	130	133.615
36.5231436	480	16	2.512
-6.2198029	480	16	2.512
36.52986145	1464153	2006	16441.406
-6.290239811	1464153	2006	16441.406
36.53097153	1883826.55	3117	45354.4
-6.198060036	1883826.55	3117	45354.4
36.59740829	19.26	10	0.268
-4.636499882	19.26	10	0.268
36.60565948	1551245.84	6949	31177.767
-6.219900131	1551245.84	6949	31177.767
36.62477112	3296	105	37.245
-6.368969917	3296	105	37.245
36.69092941	210361.8	464	4197.136
-6.134980202	210361.8	464	4197.136
36.71831894	161	3	2.37
-4.420159817	161	3	2.37
36.87393951	6530	36	204.349
-5.80479002	6530	36	204.349
37.12984848	20150	30	134.262
-5.453780174	20150	30	134.262
37.26805115	20	1	0.128
-6.065110207	20	1	0.128
37.28300858	797782.69	4032	9680.841
-5.928339958	797782.69	4032	9680.841
37.33557892	1586	36	5.876
-6.137310028	1586	36	5.876
37.3382988	198169.4	1607	13105.742
-5.839829922	198169.4	1607	13105.742
37.37261963	20	1	0.3
-6.071080208	20	1	0.3
37.37720871	50	1	0.3
-5.744180202	50	1	0.3
37.38452148	450	2	6.543
-6.073959827	450	2	6.543
37.38788986	1596548.315	8986	30363.887
-6.001979828	1596548.315	8986	30363.887
37.39525986	3720	31	52.052
-6.143839836	3720	31	52.052
37.43489075	38411	293	1263.975
-6.038509846	38411	293	1263.975
37.48228073	353442.9	6321	6283.941
-5.950910091	353442.9	6321	6283.941
37.4867964	11078.7	406	223.697
-5.9901297	11078.7	406	223.697
37.49285889	215461.8	863	7178.959
-5.97826004	215461.8	863	7178.959
37.6067009	1	1	0.012
-0.987990022	1	1	0.012
37.72375107	339	4	2.779
-1.168910027	339	4	2.779
38.09389114	509	34	16.329
-3.635730028	509	34	16.329
38.92108917	93.7	13	2.321
-1.723099947	93.7	13	2.321
39.46868134	120	2	2.032
-0.376910001	120	2	2.032
39.4826889	165	8	0.999
-0.441989988	165	8	0.999
39.5458107	182	5	1.144
-0.569980025	182	5	1.144
39.86183167	393376.682	139	2738.393
-4.025229931	393376.682	139	2738.393
40.00592041	880	14	3.72
-3.573570013	880	14	3.72
40.08665848	500	3	4.278
-3.872159958	500	3	4.278
40.1035614	6500	1	31.981
-3.764679909	6500	1	31.981
40.10578918	17409.2	500	448.466
-3.649780035	17409.2	500	448.466
40.12239838	5000	5	11.243
-3.805850029	5000	5	11.243
40.12300873	1007697.16	841	12634.174
-3.845890045	1007697.16	841	12634.174
40.23583984	750	3	23.408
-3.77335	750	3	23.408
40.24111938	3391	17	10.452
-3.699419975	3391	17	10.452
40.28343964	8090	23	33.892
-3.795759916	8090	23	33.892
40.30001068	20	7	0.086
-3.440670013	20	7	0.086
40.30490875	1286221.05	9997	122108.53
-3.731080055	1286221.05	9997	122108.53
40.32804871	14	2	1.249
-3.765249968	14	2	1.249
40.35142899	2573.31	195	12.073
-3.824280024	2573.31	195	12.073
40.38211823	3.95	6	0.011
-4.210299969	3.95	6	0.011
40.397789	819	2	2.421
-1.219519019	819	2	2.421
40.40608978	4	1	0.192
-3.878619909	4	1	0.192
40.40808868	178.8	7	1.503
-3.364069939	178.8	7	1.503
40.42028046	85286.55	685	688.884
-3.705770016	85286.55	685	688.884
40.4262085	7	1	0.023
-3.563990116	7	1	0.023
40.45922852	19014	24	127.203
-3.476439953	19014	24	127.203
40.48067856	17834.27	147	75.965
-3.373450041	17834.27	147	75.965
40.59865952	5087.1	13	115.827
-3.711639881	5087.1	13	115.827
40.66585922	0.5	1	0
-3.76996994	0.5	1	0
41.36322021	2	1	0.013
2.105180025	2	1	0.013
41.38560867	4	2	0.069
2.168720007	4	2	0.069
41.39457	6	2	0.406
2.03282	6	2	0.406
41.45048904	2007.2	3	26.768
2.244920015	2007.2	3	26.768
41.49243927	2.7	1	0.002
2.029469967	2.7	1	0.002
41.51502991	180	9	6.909
2.127140045	180	9	6.909
41.51836014	1630	12	21.157
2.361749887	1630	12	21.157
41.59009171	2	4	0.196
2.590209961	2	4	0.196
41.65182877	20	1	0.056
-0.881139994	20	1	0.056
41.90457153	450	3	7.736
-1.723219991	450	3	7.736
41.96500015	10	2	0.032
2.839349985	10	2	0.032
41.98080826	8025	10	5.645
